stemming_data,sentiment_score,sentiment
masuk hati otak semya pita dalam hati yg abdi keraton satria pingit jawa indonesia politik kuda hitam raja malaysia bumi masuk silet merk noah kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa milik jenderal bintang akabri jupiter mx muhamad nasip khalipa trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan trilyunan kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa milik jenderal bintang akabri jupiter mx muhamad nasip khalipa masuk surga kemangi kasih pangkat bintang akabri jupiter mx muhamad nasip khalipa kirim net tv kirim,-0.5267,Negatif
malu gak sih quotmenangquot,0.0,Netral
ahmed al jaf wasit yan curang,0.0,Netral
we botak biadap,0.0,Netral
wasit polontos,0.0,Netral
,0.0,Netral
wkwkwk,0.0,Netral
besok dkandang bantai wajib smagat timnasku garuda,0.0,Netral
wasit kasih sangsi aj,0.0,Netral
cemen,0.0,Netral
maksain banget,0.0,Netral
menang mata curang wasit akibat indonesia seri gpp juang indonesia semangat pantang serah,0.0,Netral
greget banget liat nya yg bocor ituu siapaa,0.0,Netral
algu indiya,0.0,Netral
pr main bahrain main jkt sikat abis fatah kaki nya biar balas pura cedera,0.0,Netral
pasang main yg bnr butuh jgn pasang main hnya kenal mendaratisirini bkn film drama tpi tim bs level dgn tim dunia,0.0,Netral
wasit njn,0.0,Netral
pas lawan china ga ambil kokoh tahan,0.0,Netral
mental tahuvbbb,0.0,Netral
wasit ga adil udah,0.0,Netral
tim sinetron vs timnas indonosia,0.0,Netral
woi sampe seri,0.0,Netral
menit buyarrr,0.0,Netral
cinta bela tanah air mesti ga protes atur yg tetap atur yg langgar wasit wasit kurang add time wasit tambah add time asbab ulur ganti main trow in jaga gawang sengaja pegang bola,0.0,Netral
sty minim taktik,0.0,Netral
wasit glbk,0.0,Netral
apa botak,0.0,Netral
wasit aneh,0.0,Netral
parah moyet wasit udah keluwat sah,0.0,Netral
balas kandang sendiriindonesia menang,0.0,Netral
sekali idn goll langsung gk kalah si bhr nya nya wasit curang,0.0,Netral
apa,0.0,Netral
wasit na orang gila,0.0,Netral
afc mafia bahrain mafia,0.0,Netral
ayoo,0.0,Netral
timnas indonesia kalah menang gak gol indonesia,0.0,Netral
if bahrain is a coward just withdraw from qualifying for the world cup if youre afraid of going to indonesia thats proof that you won with the help of the referee,0.5267,Positif
o,0.0,Netral
salah besar fifa afc tugas asu jd wasit timnas vs bahrain,0.0,Netral
ll hu hu,0.0,Netral
mntp,0.0,Netral
wasit tulis menit tambah menit menit tiup peluitmasa wasit,0.0,Netral
menit pluitnya udah tiup dasar botak,0.0,Netral
shok terapi mentang puja abai mimpi tdk main atur main taruh riskan laga krusial hilang harap jt rakyt indonesia main pssi capek ngurus naturalisasi klo tdk maksimal mere jadi pajang blunder akibat kepedean,0.2263,Positif
curang,0.0,Netral
mafia bal pairen,0.0,Netral
botak,0.0,Netral
hubung judol,0.0,Netral
wasit curang,0.0,Netral
banyakin latih dribble passing witan kyk bocah squad ssb aja klo main serasa malas ngelihatnya,0.0,Netral
kemaren kayak e yg nangkep wasit pake karung,0.0,Netral
gimana nih wasit nya,0.0,Netral
wasit yaman,0.0,Netral
wasit,0.0,Netral
waset babi,0.0,Netral
indonesia menang haram hukum,0.0,Netral
jidat item jahiliyah,0.0,Netral
lapar,0.0,Netral
salah tanda kiamat negara negara arab kaya barat ancur duit kuasa,0.0,Netral
komposisi ubah mulu asnawi masukin haye masuk duluan ridho kiri ridho jay hilgers verdonk haye ivar sandy wals struik oratmangoen eliano dah gitu,0.0,Netral
depan nya main nya tahan main berani takut takut main berani serang timnas indonesia ketemu jepang australi arab saudi curi menang timnas indonesia lolos piala dunia senior main tahan main serang main serang main berani takut jepang mati in aja jepang,0.0,Netral
bahrain cheater,-0.5423,Negatif
kesal gw gara wasit ahmad al kaf,0.0,Netral
lu gk pemanin bola jgn sok tau gw nonton ni,0.3182,Positif
kecewa wasit,0.0,Netral
footballer timur udah pensiun debut aktor pinter banget akting,0.0,Netral
wasit nya curang udah nyampe menit gak tiup,0.0,Netral
tabokin aj udeh tabok wasit botak,0.0,Netral
semangat sty juang mu,0.0,Netral
sya meni dg orng lainadl sakit hati yg sngt sakittp detik tanding kemaren sakit,0.0,Netral
parah wasit kampung dipake hahahahahaha,0.0,Netral
bahrain main licik halal menang kalah contoh bahrain vs japan suporter main laser japan untung karna japan tim kuat dunia beda timur abal abal balas wkwk,0.0,Netral
wey bola udah kali pas udah nggak dikelarin matchnya mamang habis match dompet wasit tebal,0.0,Netral
bahrain full drama football mafia,0.0,Netral
gimana sih pas menit tambah menit menit,0.0,Netral
botak nya ngitung gak sih,0.0,Netral
ahmed,0.0,Netral
duit gde,0.0,Netral
middle east referee mafia,0.0,Netral
wasit botak curang,0.0,Netral
bahrai indonesia,0.0,Netral
wasit mafia,0.0,Netral
witan ga main,0.0,Netral
wasit botol,0.0,Netral
lihat malam wasit uaeapakah me musuh ind adil,0.0,Netral
wasit negara islam musuh ind negara agama islam dunia aneh,0.0,Netral
prettt,0.0,Netral
tanding haram,0.0,Netral
pasang sepanduk pas bahrain indonesia,0.0,Netral
wasit yg aneh toleran yg gak var offside,0.0,Netral
bahrain ngk malu,0.0,Netral
wasit curang anjh,0.0,Netral
marten paes idola cr,0.0,Netral
erik thohir wakil timnas aju protes fifa,0.0,Netral
chemistry main timnas bentuk butuh proses sih moga kompak,0.0,Netral
moga malam kalah main china wasit jujur salah negara,0.0,Netral
wasite taekkk,0.0,Netral
mantap wasit angka tambah menit yah angka semangat wasit kau malu jijik kau wasit,0.0,Netral
lawan cina timnas kuat tahan takut cina kaya bahrain drama mai,0.0,Netral
bahrain wasit bikin malu dunia sepakbola,0.0,Netral
ngapain salam wasit busuk aja hormat timnas menang gol bahrain sah,0.0,Netral
kalah timnas indonesia hilang pasing pasing bola menit kurangya kerja keras kurang fokus kurang semangat faktor lemah timnas indonesia amat bijak,0.0,Netral
komentator nya langsung pesantren kayk nya y wkwkwkwk,0.0,Netral
sedih bantu wasit,0.0,Netral
haduh,0.0,Netral
moga indo ga lolos pindun,0.0,Netral
bot towel,0.0,Netral
moga tim garuda menang dgn skor garuda,0.0,Netral
bahrain fulus kelas,0.0,Netral
ahmed meningaal,0.0,Netral
ae ahmed al kaf botak,0.0,Netral
main bahrain guling ludah mukak nya,0.0,Netral
wasit na indo vs usbezkistan,0.0,Netral
woi apasih udah parah menit buka asli,0.0,Netral
wasit nya ngajak got,0.0,Netral
bahrain main ky tarkam,0.0,Netral
kon lapo nek kosong,0.0,Netral
kepala gundul jidat hitam mafia,0.0,Netral
jam biar tepar lapang,0.0,Netral
indonesia biasabahrain pengecuttt dengat botak yng sdh sogok,0.0,Netral
alhamdulillah kalah indonesia curang raktatnya bawa main main pelatihdengan lebel timnas indonesia syukur makas yaallah moga kalah curang otak rakyat indonesia buka yg dukung tim lebel timnas indinesia,0.0,Netral
pribabu jawir panas londo ireng ,0.0,Netral
ole romeny mauro zilstra jairo ian maatsen please erick tohir rekrut indonesia mengobrakabrik gawang arab saudi bahrain gbk skor menang telak bantai australia dgn skor telakdendam banget bahrain australia,0.3182,Positif
timur negara kaya suap wasit gengsi mudah,0.0,Netral
lawan jijik,0.0,Netral
wasit butuh duit,0.0,Netral
gamau nonton tanding lg sebel sm bahrain wasit,0.0,Netral
moga menang lawan china,0.0,Netral
federasi asia barat bentuk federasi afcbiar isi negara timteng kasih nama benua unta,0.0,Netral
king indo vs wasit,0.0,Netral
besok lawan china lokal cadang dlu anda rafael struick tarik cerita bahrain vs indonesia win,0.5859,Positif
king indo masuk piala dunia cuy,0.0,Netral
botak botak buta nying,0.0,Netral
fifa wajib baned negara timur,0.0,Netral
a b c d ewaiting for bahrain to score,0.0,Netral
botak bolos mtk,0.0,Netral
bahrain vs main indonesia pd g sadar yg main bahrain orgnya,0.0,Netral
bahrain tim aneh badan kekar letoy suka guling,0.0,Netral
barangsiapa percaya yesus ampun dosa,0.0,Netral
sayang banget wasit pihak belah,0.0,Netral
sampe komen orng negri vidio nya,0.0,Netral
uji berat banget curiga timnas garuda lolos piala dunia,0.0,Netral
wajar wasit nambah menit krn menit tanding ga lanjut jd menit lg pas menit kasi sempat bahrain krn posisi lg masuk daerah indo goal,0.0,Netral
bahrain kembali poin indonesia,0.0,Netral
siksa gbk okk,0.0,Netral
kocak,0.0,Netral
bahrain,0.0,Netral
bahrain curang,0.0,Netral
ikhlaskanprotes dgn akn rubah hasil tatap amp libas musuh smg menang menang,0.0,Netral
nya main fokus main menit menit tanding bahrain vs indonesia kemarin tanding kandang lawan timnas ajar atas ferforma situasi genting mentalitas level moga timnas ajar terbang terusnaik terustambah semangat,0.0,Netral
a href,0.0,Netral
rafael oratmangoen,0.0,Netral
emang blurr gimana,0.0,Netral
wasit aja remedial ,0.0,Netral
wasit nya ga becus,0.0,Netral
nyata pihak si kepala plontos wasit yg dgn sengaja mengulurulur wkt luap gembira dgn cr rangkul main bahrain pd menit detik stlh cetak gol,0.0,Netral
wasit bajinangan,0.0,Netral
yg lihat main bahrain sepak bola jujurtapi drama,0.0,Netral
gemes sma wasittttt,0.0,Netral
bodoh main lokal coba aja c witan ngumpan nya mata merem beda cierta ngumpan kasih bek lawan hadeh inimah,0.0,Netral
wasit laen,0.0,Netral
hidup indonesia raya,0.0,Netral
laga lwn cina sprtinya jd ajang lampias timnas indonesia bs geser bahrain,0.0,Netral
nyimak,0.0,Netral
faes sempurna,0.0,Netral
rapael keren,0.0,Netral
garuda dunia,0.0,Netral
akun sosmednya ni wasit,0.0,Netral
balas kandang garuda,0.0,Netral
organisasi main timnas msh baguskurang padu timmaklum udh pd tau sebabnyasmg lwn cina ad kembang,0.0,Netral
tambah menitloko gol menit wasitx inda tau matematika kali,0.0,Netral
cuman cundang nyalahin wasit,0.0,Netral
emang wasit yg ga fair lol,0.6249,Positif
hrusnya bgmduanya salah,0.0,Netral
beban negara dukung negara curang,0.0,Netral
bungaindahsarii ga fair gimana pas tambah si witan peluang cetak goll biarun wasit buang buang peluang,0.3182,Positif
airantum ya nya unggul nya gol cuman gol ga maju maju sepak bola kalo imbang kalah salahin wasit salah main timnas ga jaga gawang menit ga cetak gol menit injury time salut main bahrain juang menit sama duduk,-0.4215,Negatif
kenpa g cek var ha,0.34,Positif
wasit gila,0.0,Netral
rafael struick percaya yg kwalitas striker yg manfaat peluang apa tingkat mampu lae,0.0,Netral
ga ya besok tuan rumah ga pake var biar bahrain ja dipake var,0.0,Netral
curiga wasit besok pas lawan china untung china,0.0,Netral
ga,0.0,Netral
kadal guruuuuuunnn,0.0,Netral
kadal gurun haha,0.4588,Positif
bahrain kalah,0.0,Netral
terima indonesia menang bahrain kalah seri wasit curang tambah menit,0.0,Netral
x,0.0,Netral
wasit botak gak matematika,0.0,Netral
wasit nya selebrasi,0.0,Netral
slah liat aj,0.0,Netral
martin pes diam tendang bebas,0.0,Netral
wkwkwkwk sukurin,0.0,Netral
alhamdulillah puji tuhan,0.0,Netral
jijik,0.0,Netral
p,0.0,Netral
wasit gk jls sma sj sm far,0.0,Netral
afc president resigns,-0.3182,Negatif
ngomong si botak tugas tugas ya,0.0,Netral
ngeliat main timur muak curang halal,0.0,Netral
wasit botak hama,0.0,Netral
gol easy indog,0.4404,Positif
defeted from malaydesh round ,0.0,Netral
mantap,0.0,Netral
semangat,0.0,Netral
kalah,0.0,Netral
main banyak udah aja jam main,0.0,Netral
besok indonesia lawan china malam salam balikpapan,0.0,Netral
dasar wasit berat sebelahbotak botak jitak,0.0,Netral
nysek bener hati ngeliat gol,0.0,Netral
we can do it better lets turn rage into positive energy go indonesia go,0.6124,Positif
langgar nambah menit,0.0,Netral
nmbh mnit,0.0,Netral
detik marah sial wasit,0.0,Netral
wasit botak,0.0,Netral
gak score menang bahrain habis tanding tanggal,0.0,Netral
gol rafael struick gol piala asia u lawan korea aelatan bgt gol,0.0,Netral
ko botak selebrasi sih,0.0,Netral
salah liat aj,0.0,Netral
tuanrumah tolak kalah ga beda sm pon konoha,0.0,Netral
jembut unta,0.0,Netral
terima hasil,0.0,Netral
wasit tholol masak,0.0,Netral
indonesia should win this game the match is awesome big respect from garut,0.9001,Positif
tanding ter kon,0.0,Netral
afcmafia,0.0,Netral
asa kaya nemu wasit tarkam,0.0,Netral
marahwasit pihak bahrin,0.0,Netral
menit bola mati udah habis wasit ngasih bahrain nyamain gol,0.0,Netral
ya lamatoleransinya mnitan aj,0.0,Netral
bilang sma sty hrs latih biar gk kaku lawan bahrain china ayo semangat coach sty dn tim garuda sdh hebat dn terus juang dn doa,-0.5106,Negatif
semangat dn optimis wasit hrs jujur dn adil dn kasih dn biar masuk piala dunia zona asia lawan bahrain china ayo semangat timnas u ya,0.0,Netral
wasitt,0.0,Netral
kacau,0.0,Netral
bahraini football will forever be flawed seen around the world as the football mafia,0.0,Netral
botak gila mata ny buta kli menit aj wasit buta pecat aj tuh,0.0,Netral
sya perhati d tambah menit tpi gol pas d menit ya wasit coba d cek sudh krna gol pas d yg sudh,0.0,Netral
witan hedeh,0.0,Netral
judul berita rubah hasil tp cerita main ny pret betita judul g etis judul timir cerita barat,0.0,Netral
wasit persis perintah idonesia dr residenma dpr kalah demo mahasiswa warga,0.0,Netral
indonesia,0.0,Netral
si botak selebrasi,0.0,Netral
airantum yh gak rambut,0.0,Netral
ampe kesel bgt liat hasil nyawasit nya ga ngerti itung an ayo garuda semangat insyaallah lolos pildun amin,0.0,Netral
wasit merayakanselebrasi gol salah tim,0.0,Netral
jijik nonton wasit,0.0,Netral
kloindonesia yg goldi cek varlah behrein gk cek var,0.0,Netral
gw tandain lu y botak,0.0,Netral
afc mafia,0.0,Netral
wasit mafiakena rampokkkk indodi curangii,0.0,Netral
hayo balas digbk spanduk mengolokngolok curang mafia bola dunia tau bejat persepakbolaan timur,0.0,Netral
ooo wasit kena sogok tu,0.0,Netral
usut wasit kontroversial,0.0,Netral
wasit kuntollllllllllll palkon,0.0,Netral
canel berkenbang trus tebar hoak,0.0,Netral
sy gol salah halau dri ridho tdk smpurnaridho lompat dblkng main bahrain tp kepala tdk tegak tp condong kepala dtundukkanandaikn kepala ridho tegak brrti dfn kepala main bahrain yg sundul bola itmgkin tdk akn trjdi golinilah klemahan ridho slma tarung bola psti kalahjd sty hrs evalusai tahan pd bola set piece,0.0,Netral
sempat emas yg witan sayang manfaat,0.0,Netral
fulus fulus,0.0,Netral
bahrain mafia,0.0,Netral
indonesia curang,0.0,Netral
wasit tuyul timur tengahgol bahrain haram,0.0,Netral
wasit gak ngitung,0.0,Netral
oi wasit sogok beraoa duit kau setan,0.0,Netral
babak wasit kasi tambah menit menit indonesia bahrain eehh mas ajh tiup pluit menit menit bobol indonesia berkat wasit tdk tiup pluit indonesia bahrain ,0.0,Netral
cocok nya wasit apain y klo pribadi wasit cocok hukum pancung,0.0,Netral
jijik lihat main supporter yg menang curang,0.2732,Positif
garuda terbang,0.0,Netral
bahrain vs indonesia referee vs indonesia until bahrain score afc asi football confederation afc arabian football comedy,0.3612,Positif
perhati meni a href wasit sesal henti laga langgar marselino struick cipta goal,0.0,Netral
bahraain ancukkk,0.0,Netral
wasit kampang,0.0,Netral
samadengan,0.0,Netral
hei timur baik dunia ancam orang timur,0.0,Netral
timnas sembah yg baik cuman wasit yg waras gol nya menit hebat selamat keboborokannyakami tunggu indonesia,0.0,Netral
botak asww,0.0,Netral
yg gak tau atur afc yg main timur ya wasit ny timur tengahdan atur yg gagal faham tim timur kalah panjang golmau nambah gpp,0.0,Netral
knp ya wasit arab suka curang oh ya wasit ikan sepat ikan tongkol kalo niat curang gk kerja kont,0.0,Netral
wasit polontong,0.0,Netral
lawakkk,0.0,Netral
kayak lawan anak tk senggol dikit ngadu wasit,0.0,Netral
wasite matane picek menit gk picek matane wasite curang,0.0,Netral
afc firaun,0.0,Netral
tolong main tolong,0.0,Netral
haru nasionalisme main timnas main timnas cinta indonesia,0.0,Netral
wasit asuuuu,0.0,Netral
indonesia dicurangin wasit kontroversial,0.0,Netral
licik,0.0,Netral
ga malu ya,0.0,Netral
voldemort in real life,0.0,Netral
untung kalah bahrain kuat,0.0,Netral
beban negara komen,0.0,Netral
aduh segitttt kali undung golllllllllllllll,0.0,Netral
woiiiii ofsite ituuuu,0.0,Netral
indonesia saing level internasional,0.0,Netral
ga habis nya anjirr bgt ni wasit,0.0,Netral
males nonton highlight sakit hati putus wasit tetep nonton biar trending,0.34,Positif
bahrain wasit timur musuh pribadi dlm dunia bola,0.0,Netral
bahrain imbang menang indonesia imbang kalahkita layak menang,0.0,Netral
timnas indonesia rugi wasit,0.0,Netral
wasitbabi,0.0,Netral
indonesia vs bahrain wasit timur om ahmed al kafharusnya wasit jngan timur yg mimpinklo asia timur yg pimpin jepangkorea utara korsel,0.0,Netral
a href what a block,-0.4404,Negatif
bahrainqataromanadalah musuh rakyat indonesiaapakah negara teluk nya musuh indonesia,0.0,Netral
mantab main indonesia bangus bos,0.0,Netral
bahrain jelasquot mafia,0.0,Netral
komentar indo beda kayak ngomentatori orang nama main inggris semuua,0.0,Netral
bacot jawir,0.0,Netral
a href iklan rokok,0.0,Netral
sah sepak bola setatus menit gimana wasit ituh g ratusmenit,0.0,Netral
percaya alhamdulillah,0.0,Netral
a href sakit pegang kepala pegang dada kocak emangggggg,0.0,Netral
hebat gol yg rapael streck gaya tendang nya main vietnam cantik gol,0.0,Netral
witan hmmm jnathan tjoe a on tubruk hmmmm,0.0,Netral
indonesia is the best pokok nya,0.6369,Positif
witan lamain megang bola peluit ambisi bikin gol udah menang,0.0,Netral
cccffcf,0.0,Netral
menit wasit tdk mengangiri tanding dekat bola wasit tendang kerss bola badanmuka wasit wasit jatuh pertanfingsn henti supporter riak dg yel yel quot habis game over quot,0.2732,Positif
tambah menit habis menit gimana cerita wtf,-0.5859,Negatif
offside,0.0,Netral
rcti sakit hati banget,0.0,Netral
timnas bahrainmending bubarin ajaklo lanjutin bahrain tetep curangklo udah curang tetep curang,0.0,Netral
babak habis supporter indonesia henti nyanyi ganti dg yel yel quotwaktu habis game over quot menerusmasukkan bola cadang yg pinggir lapang lang tanding henti,0.2732,Positif
yaaa kalo wasit botak gin gin,0.0,Netral
wasit main yg curang deskualifikasisangat rugi negra tonton,0.0,Netral
gas santet wasit,0.0,Netral
raja guling guling,0.0,Netral
menit stlah witan gagal umpan dekat kotak penalti bahrain wasit uda liat jam nya tp gak tiup peluit krn bahrain lg nyerang pssi haru kirim surat fifa usut wasit minimal wasit hukum gk bs wasit umur hidup lg,0.0,Netral
kartu merah menit terima kartu merah,0.0,Netral
gua tuh wasit gk paku perut,0.0,Netral
xvshf,0.0,Netral
ratu angga,0.0,Netral
knapa nggak jaga tiang gswang,0.0,Netral
teliti cermat nonton laga injury time ulang kaliberulang kaliberulang kalisemakin mafia disanacontra jepang pake lasercontra garuda pake fullus,-0.4215,Negatif
wasit selebrasi gol sihnampak kali udah sogok,0.0,Netral
bayar,0.0,Netral
moga pas lawan china menang dh prediksi gw,0.0,Netral
buk guru anak anak iya siswa botak buk,0.0,Netral
wasit minus,0.0,Netral
tunggu kandang tunggu ngana bahrain torang ojoh,0.0,Netral
asu wasit,0.0,Netral
jelek timur pake wasit timur ya wajar berat belah fifa terap wasit eropa adil indonesia curang lawan qatar bahrain wasit timur ga layak wasit miris,0.0,Netral
sungguh islam negara timur keep spirit garuda boys,0.1779,Positif
islam aib nusantara,0.0,Netral
dah wasit nya,0.0,Netral
bngga jd anak indonesia,0.0,Netral
wasit ta,0.0,Netral
f,0.0,Netral
aslina wasit barain x indonesia ngarana ahmed kudu alus ngawasitannana,0.0,Netral
sy seporter indo petnah trima hasil dro,0.0,Netral
wasit nya cilit,0.0,Netral
malu,0.0,Netral
kalo ulang menit wasit emang bobrok sih jelas saaaaaaangat pihak bahrain salah fifa lisensi blok,0.0,Netral
pluit selesai tiup tiup,0.0,Netral
curang wasit nya indo menang,0.0,Netral
moga jalan piala dunia lancar amiin,0.0,Netral
soter indonesia kecewa degan wasit tungu balas kandang,0.0,Netral
witan pea masuk udah blundee,0.0,Netral
emang negara timur ga beres,0.0,Netral
erick tohir jajar berani protes keras fifa penjara wasit curang tunggu aja mental nyali tum pssi tindak,0.0,Netral
wasit ga adil,0.0,Netral
mhon erikkoreksi sayalebih disiplin bola jngn mudah jatuh dgn ego krna bola butuh kompak timtendangan keras tdk laku main bola modern negri dgn tehnik pasingdibling cepat dn heding jngn lupa mncuri poin tendang bola mati,0.0,Netral
wasit yg mnjijikkan,0.0,Netral
yasinke wasite,0.0,Netral
nyadar gk klo indo tuh dh menang wasit curang bilang enam manit sembilan,0.0,Netral
udah tau suu,0.0,Netral
gol bahrain tdk kece vardua gol kontroversialluar,0.0,Netral
rctientertainment kenpa tayang layar tv jepang lawan arab bagus,0.0,Netral
fokus china hati china lg puruk laku biar gak kalah lawan timnas,0.0,Netral
anggap tim nas selamat nyawa wasit yg beli tuan rumah kalah,0.0,Netral
knp tdk cek var,0.0,Netral
bahrain is jembot,0.0,Netral
witan nendang,0.0,Netral
tim badut merah,0.0,Netral
indonesia yaaaa emosi kecewa campur aduk sisi bangga teamku takut masuk lumbung goal mereka takut teamku fair kalah team ku oke balas indonesia,0.3182,Positif
cb nilai fair ga atur pasti kait panjang waktutp coba cek deh rekam tanding witan langgar menit xx bola tendang menit bola mnt marselino langgar menit xx bola tendang menit mnt tambah langgar yg henti tanding,0.3182,Positif
wasipenjaraaja,0.0,Netral
wasitbotak gakbisajadikiper,0.0,Netral
tim gulingquot bahrain,0.0,Netral
a href ngakak,0.0,Netral
stupid referee,-0.5267,Negatif
timnas piu piala liga super bahrain leagues,0.5994,Positif
dasar wasit botak antem maeh,0.0,Netral
bahrain kalah wasit nya sewa,0.0,Netral
wasit anehhh,0.0,Netral
garuda lawan tisu,0.0,Netral
